RANK,TEAM,RECORD,POINTS ALLOWED/GAME,RUSH YDS ALLOWED/GAME,PASS YDS ALLOWED/GAME,YARDS ALLOWED/GAME,POINTS/GAME,RUSH YDS/GAME,PASS YDS/GAME,YARDS/GAME,Season
16,LSU,4-Oct,22.5,148.6,193.6,342.2,34.5,183.8,253.9,437.7,2022
17,Oregon State,3-Oct,20,108.2,211.3,319.5,32.2,196.5,191.6,388.1,2022
18,Notre Dame,4-Sep,23,131,178.8,309.8,31.8,189,197.3,386.3,2022
19,Troy,2-Dec,17.1,119.2,189.9,309.1,25.6,116.3,222.7,339,2022
20,Mississippi State,4-Sep,23.1,134.2,194.7,328.8,31.6,81.7,293.3,375,2022
21,UCLA,4-Sep,29,129.9,257.8,387.8,39.2,238.3,256.5,494.8,2022
22,Pittsburgh,4-Sep,24.3,99,206.1,305.1,31.3,182.6,210.9,393.5,2022
23,South Carolina,5-Aug,28.8,197.9,195.8,393.7,32.2,118.8,245.5,364.3,2022
24,Fresno State,4-Oct,19.4,150.1,174.8,324.9,30.6,132.5,252,384.5,2022
25,Texas,5-Aug,21.6,125.7,229.4,355.1,34.5,188.2,230.4,418.5,2022
1,Georgia,14-1,10.2,78.7,165.1,243.7,38.6,190.9,243.2,434.1,2021
2,Alabama,13-2,20.1,86.1,193.1,279.1,39.9,150,319.1,469.1,2021
3,Michigan,2-Dec,17.4,126.4,189.4,315.9,35.8,214.1,220.7,434.9,2021
4,Cincinnati,13-1,16.9,149.1,152.5,301.6,36.9,171.9,229.1,401.1,2021
5,Baylor,2-Dec,18.3,118,206.4,324.4,31.6,219.3,193.9,413.2,2021
6,Ohio State,2-Nov,22.8,127.8,227.2,355,45.7,180.3,370.7,551,2021
7,Oklahoma State,2-Dec,18.1,87.6,184.6,272.3,31.1,188.1,224.5,412.6,2021
8,Notre Dame,2-Nov,19.7,135.6,202.2,337.8,35.2,143.8,266.2,410,2021
9,Michigan State,2-Nov,25.3,117.2,301.8,419,31.8,175.6,242.1,417.7,2021
10,Oklahoma,2-Nov,25.8,129.1,247.2,376.3,39.1,187.2,249.5,436.8,2021
11,Ole Miss,3-Oct,24.7,190.4,213.3,403.7,33.7,218.5,257.1,475.5,2021
12,Utah,4-Oct,22.6,121.7,202.7,324.4,36.1,216.8,208.2,425,2021
13,Pittsburgh,3-Nov,23.6,88.7,235.3,324,41.4,149.2,319.1,468.4,2021
14,Clemson,3-Oct,14.8,96.6,187.5,284.2,26.3,168,181.8,349.8,2021
15,Wake Forest,3-Nov,28.9,195.5,202.1,397.6,41,160.5,294.4,454.9,2021
16,Louisiana,13-1,18.5,148.9,174.4,323.2,31.1,193.9,206.6,400.5,2021
17,Houston,2-Dec,20.4,107.4,174.7,282.1,35.9,141.8,251.2,393,2021
18,Kentucky,3-Oct,21.7,122.1,205.6,327.7,32.3,199.5,213.7,413.2,2021
19,BYU,3-Oct,24.8,156.9,221.3,378.2,33.1,188.7,255.4,444.1,2021
20,NC State,3-Sep,19.7,124,193.2,317.2,33.1,126.2,273.8,400,2021
21,Arkansas,4-Sep,22.9,153.8,202,355.8,30.9,227.8,199.8,427.5,2021
22,Oregon,4-Oct,27,143.2,230.4,373.6,31.4,202.4,212.9,415.3,2021
23,Iowa,4-Oct,19.2,114.4,199.2,313.6,23.4,123.6,165.3,288.9,2021
24,Utah State,3-Nov,24.4,161.9,216.4,378.2,32.6,142.6,289,431.6,2021
25,San Diego State,2-Dec,19.8,86.5,243.4,329.8,27.3,188.3,167.7,356,2021
